DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,"2012-2013
PERFORMANCE GRADE",2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
02M290,2,P.S. 290 Manhattan New School,Sharon Hill,EMS,Elementary,A,68.9,89.3,34.4,B,18.8,A,12.1,A,0,0,3.5,A,A,A
30Q069,30,P.S. 069 Jackson Heights,Martha Vazquez,EMS,Elementary,A,69,89.5,42.5,A,17.4,A,6.8,B,0,0,2.2,A,A,A
84M351,84,Success Academy Charter School - Harlem 1,Jackie Albers/Andrea Klein,EMS,K-8,A,69.6,84.8,37.1,A,19.8,A,9.6,B,0,0,3.1,A,A,A
20K069,20,P.S. 69 Vincent D. Grippo School,Jaynemarie Capetanakis,EMS,Elementary,A,70.1,90.5,39.5,A,15.6,A,11.7,A,0,0,3.3,A,A,A
28Q440,28,Forest Hills High School,Saul Gootnick,HS,High School,A,70.2,67.8,35.7,B,14,B,9.5,C,6.5,B,4.5,A,A,A
84X704,84,KIPP Academy Charter School,Frank Corcoran,EMS,K-8,A,70.2,85.4,36.1,B,16.8,A,12,A,0,0,5.3,A,A,A
24Q267,24,High School of Applied Communication,Daniel Korb,HS,High School,A,70.4,68,34.6,B,12.3,B,11.5,B,6.1,B,5.9,A,A,A
31R470,31,Concord High School,Ron Gorsky,HST,High School Transfer,A,70.6,0,31.4,B,11.2,B,13.9,A,3.3,C,10.8,A,A,A
84M350,84,Democracy Preparatory Charter School,Lisa Friscia/Tanya Nunez,EMS,Middle,A,70.6,80.9,38.8,A,15.9,B,11.4,A,0,0,4.5,A,A,A
02M500,2,Unity Center for Urban Technologies,Fausto De La Rosa,HS,High School,A,70.7,69.4,36,B,13.6,B,9.8,C,3.6,C,7.7,A,A,A
27Q066,27,P.S. 066 Jacqueline Kennedy Onassis,Phyllis Leinwand,EMS,Elementary,A,70.8,91.5,33.7,B,21.1,A,11.4,A,0,0,4.6,A,A,A
02M296,2,High School of Hospitality Management,Yves Mompoint Jr,HS,High School,A,70.8,70.5,36.5,B,12.8,B,11.1,B,4.1,C,6.3,A,A,A
28Q620,28,Thomas A. Edison Career and Technical Education High School,Moses Ojeda,HS,High School,A,70.8,70.5,33.3,B,15.6,A,11.3,B,6.7,B,3.9,A,A,A
01M450,1,East Side Community School,Mark Federman,HS,High School,A,71,71.3,31.6,B,12.9,B,12.8,A,6.5,B,7.2,A,A,A
06M552,6,Gregorio Luperon High School for Science and Mathematics,Juan Villar,HS,High School,A,71,71.3,29.7,B,13.9,B,12.5,A,7.2,A,7.7,A,A,A
16K040,16,P.S. 040 George W. Carver,Leonie Hibbert,EMS,Elementary,A,71.1,91.8,43.2,A,14.2,B,9.5,A,0,0,4.2,A,A,A
22K255,22,P.S. 255 Barbara Reing School,Linda L. Singer,EMS,Elementary,A,71.1,91.8,38,A,18.5,A,10.1,A,0,0,4.5,A,A,A
31R080,31,The Michael J. Petrides School,Joanne Buckheit,HS,High School,A,71.4,72.4,30.8,B,16.2,A,12,A,8,A,4.3,A,A,A
08X069,8,P.S. 069 The New Vision School,Sheila Durant,EMS,Elementary,A,71.5,92,40.5,A,18.5,A,8.5,B,0,0,4,A,A,A
25Q024,25,P.S. 024 Andrew Jackson,Debra Cassidy,EMS,Elementary,A,71.6,92.5,40.9,A,18.9,A,7.6,B,0,0,4.2,A,A,A
03M247,3,M.S. M247 Dual Language Middle School,Claudia Aguirre,EMS,Middle,A,71.6,83.7,35.4,B,15.5,B,14,A,0,0,6.7,A,A,A
20K201,20,J.H.S. 201 The Dyker Heights,Ms. Madeleine Brennan,EMS,Middle,A,71.6,83.7,37.5,B,20.1,A,9.4,B,0,0,4.6,A,A,A
15K448,15,Brooklyn Secondary School for Collaborative Studies,Alyce Barr,HS,High School,A,72,73.2,23.8,C,18.1,A,10.3,B,8.2,A,11.6,A,A,A
03M479,3,Beacon High School,Ruth Lacey,HS,High School,A,72.4,73.4,39.4,A,13.3,B,11.3,B,7.9,A,0.5,A,A,A
22K134,22,P.S. K134,Debra Ramsaran,EMS,Elementary,A,72.5,92.6,38.7,A,19.4,A,10.9,A,0,0,3.5,A,A,A
13K553,13,Brooklyn Academy High School,Charon Hall,HST,High School Transfer,A,72.6,0,37.4,A,7.6,B,11.4,B,6.5,A,9.6,A,A,A
84M353,84,New Heights Academy Charter School,Robert Parkes/Stacy Winitt,HS,High School,A,72.7,74.5,37.2,A,13.7,B,10,B,5,C,6.8,A,A,A
15K443,15,New Voices School of Academic & Creative Arts,Frank Giordano,EMS,Middle,A,72.8,84.3,37.8,B,18.3,A,11.2,B,0,0,5.4,A,A,A
02M298,2,Pace High School,Yvette Sy,HS,High School,A,73.2,75.1,35.3,B,17.2,A,9.6,C,6.7,B,4.4,A,A,A
21K098,21,I.S. 98 Bay Academy,Maria Timo,EMS,Middle,A,73.2,84.6,37.5,B,20.9,A,11.3,B,0,0,3.5,A,A,A
15K821,15,Sunset Park Prep,Lola Padin,EMS,Middle,A,73.4,85.4,41.4,A,14.4,B,10.7,B,0,0,6.9,A,A,A
10X086,10,P.S. 086 Kingsbridge Heights,Fiona Tyson,EMS,Elementary,A,73.7,93,40.6,A,18.3,A,11.3,A,0,0,3.5,A,A,A
31R460,31,Susan E. Wagner High School,Mr. Gary M. Giordano,HS,High School,A,73.9,76.4,36.7,A,13.4,B,11.4,B,7.5,A,4.9,A,A,A
01M184,1,P.S. 184m Shuang Wen,"Iris Chiu, I.A.",EMS,K-8,A,73.9,91.5,40,A,22.3,A,5.8,C,0,0,5.7,A,A,A
12X248,12,"Metropolitan High School, The",Carla Theodorou,HS,High School,A,74.2,77,33,B,15.2,A,13.1,A,6,B,6.9,A,A,A
32K403,32,Academy for Environmental Leadership,Nilda Gomez-Katz,HS,High School,A,74.2,77,37.1,A,15.1,A,11,B,4,C,7,A,A,A
15K172,15,P.S. 172 Beacon School of Excellence,Jack Spatola,EMS,Elementary,A,74.6,93.9,31.2,B,25,A,12.9,A,0,0,5.5,A,A,A
20K192,20,P.S. 192 - The Magnet School for Math and Scienc,Liset Isaac,EMS,K-8,A,74.6,92.7,46.6,A,13,B,9.1,B,0,0,5.9,A,A,A
22K555,22,Brooklyn College Academy,Nicholas Mazzarella,HS,High School,A,74.8,78.1,36.8,A,14.6,B,13.2,A,8.4,A,1.8,A,A,A
24Q299,24,Bard High School Early College Queens,Valeri Thomson,HS,High School,A,75,79.1,38.5,A,14,B,12.9,A,9.5,A,0.1,A,A,A
30Q141,30,I.S. 141 The Steinway,Miranda Pavlou,EMS,Middle,A,75.3,88.5,39,A,20.1,A,11.9,A,0,0,4.3,A,A,A
25Q285,25,World Journalism Preparatory: A College Board School,Cynthia Schneider,HS,High School,A,75.4,79.4,41.3,A,14.5,B,9.8,C,6.9,A,2.9,A,A,A
01M650,1,Cascades High School,Paul Rotondo,HST,High School Transfer,A,75.4,0,34,A,14.7,A,12.5,B,6.3,B,7.9,A,A,A
30Q555,30,Newcomers High School,Orlando Sarmiento,HS,High School,A,75.9,80.5,34.2,B,15.8,A,9.7,C,7.3,A,8.8,A,A,A
14K561,14,Williamsburg Preparatory School,Michael Shadrick,HS,High School,A,76.4,81.8,38.4,A,15.6,A,12.5,A,6.1,B,3.8,A,A,A
20K485,20,High School of Telecommunication Arts and Technology,Philip Weinberg,HS,High School,A,77,83.2,35.9,B,14.3,B,11.9,A,8.1,A,6.8,A,A,A
02M130,2,P.S. 130 Hernando De Soto,Lily Woo,EMS,Elementary,A,77.3,95.7,40.3,A,20.4,A,13.2,A,0,0,3.3,A,A,A
32K554,32,All City Leadership Secondary School,Elvis Estevez,HS,High School,A,77.4,83.5,36.1,B,16,A,13.7,A,7.5,A,4.1,A,A,A
30Q122,30,P.S. 122 Mamie Fay,Pamela Sabel,EMS,K-8,A,77.4,95.1,42.6,A,22.4,A,9,B,0,0,3.4,A,A,A
30Q235,30,Academy for New Americans,Betty Cartagena,EMS,Middle,A,78,91.3,50.9,A,7.6,D,14.6,A,0,0,4.9,A,A,A
27Q323,27,Scholars' Academy,Brian O'connell,EMS,Middle,A,78.1,91.3,41.1,A,22,A,12.8,A,0,0,2.1,A,A,A
12X267,12,Bronx Latin,Annette Fiorentino,EMS,Middle,A,78.2,91.9,39.5,A,21.5,A,12.3,A,0,0,4.8,A,A,A
24Q550,24,High School for Arts and Business,Ana R. Zambrano-Burakov,HS,High School,A,78.5,85.6,39.8,A,15.1,A,12.5,A,5.5,B,5.6,A,A,A
06M319,6,M.S. 319 - Maria Teresa,Ysidro Abreu,EMS,Middle,A,78.6,92.2,46.1,A,13.2,B,13.7,A,0,0,5.6,A,A,A
24Q610,24,Aviation Career & Technical Education High School,Deno Charalambous,HS,High School,A,78.7,85.9,40.1,A,15.6,A,12.8,A,6.3,B,3.9,A,A,A
10X549,10,Discovery High School,Rolando Rivera,HS,High School,A,78.9,86.2,41.2,A,11.3,C,12.6,A,6.2,B,7.6,A,A,A
25Q022,25,P.S. 022 Thomas Jefferson,Priscilla Milito,EMS,Elementary,A,79,96.9,45.9,A,19.9,A,9.5,A,0,0,3.7,A,A,A
02M600,2,The High School of Fashion Industries,Daryl Blank,HS,High School,A,79.2,86.5,39,A,18,A,11.7,A,6.9,A,3.6,A,A,A
17K546,17,High School for Public Service: Heroes of Tomorrow,Sean Rice,HS,High School,A,79.3,86.7,39.9,A,15.7,A,12.2,A,8,A,3.5,A,A,A
02M126,2,P.S. 126 Jacob August Riis,Jacqueline Getz,EMS,K-8,A,79.4,97.6,42.1,A,21.2,A,9.8,B,0,0,6.2,A,A,A
02M412,2,N.Y.C. Lab School for Collaborative Studies,Brooke Jackson,HS,High School,A,79.7,87.8,38.4,A,18.6,A,11.5,B,7.8,A,3.4,A,A,A
02M414,2,N.Y.C. Museum School,Darlene Miller,HS,High School,A,79.7,87.5,42.4,A,19.7,A,6.1,D,7.2,A,4.3,A,A,A
17K249,17,P.S. 249 The Caton,Ms. Elisa Brown,EMS,Elementary,A,79.9,97.5,42.8,A,23.1,A,11.4,A,0,0,2.6,A,A,A
02M002,2,P.S. 002 Meyer London,Bessie Ng,EMS,Elementary,A,80.2,98,51.7,A,17.7,A,7,B,0,0,3.8,A,A,A
01M539,1,"New Explorations into Science, Technology and Ma",Dr. Olga Livanis,EMS,K-8,A,80.5,98.2,47.2,A,24.3,A,5.2,C,0,0,3.8,A,A,A
03M859,3,Special Music School,Katherine Banucci-Smith,EMS,K-8,A,80.8,98.8,44,A,24.3,A,11.6,A,0,0,0.9,A,A,A
03M485,3,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Kim Bruno,HS,High School,A,80.9,88.9,45.7,A,17.9,A,8.4,C,8.6,A,0.3,A,A,A
14K031,14,P.S. 031 Samuel F. Dupont,Mary J. Scarlato,EMS,Elementary,A,81,98.4,40.7,A,23.8,A,12.3,A,0,0,4.2,A,A,A
20K163,20,P.S. 163 Bath Beach,Maryann Wasmuth,EMS,K-8,A,81.7,99.4,45.1,A,17.1,A,12.8,A,0,0,6.7,A,A,A
06M324,6,M.S. 324 - Patria Mirabal,Janet Heller,EMS,Middle,A,81.7,93.5,41.2,A,20.6,A,14.4,A,0,0,5.5,A,A,A
31R047,31,CSI High School for International Studies,Joseph Canale,HS,High School,A,81.9,89.7,42.2,A,16.7,A,12.1,A,8.1,A,2.8,A,A,A
17K539,17,High School for Service & Learning at Erasmus,Peter Fabianski,HS,High School,A,82.1,90.5,40.1,A,15.8,A,11.7,A,4.8,C,9.7,A,A,A
26Q188,26,P.S. 188 Kingsbury,Janet Caraisco,EMS,Elementary,A,82.4,98.5,45.8,A,24,A,9.8,A,0,0,2.8,A,A,A
04M555,4,Central Park East High School,Bennett Lieberman,HS,High School,A,82.4,90.8,43.5,A,15.5,A,12.9,A,6.2,B,4.3,A,A,A
08X337,8,The School for Inquiry and Social Justice,Andrea Cyprys,EMS,Middle,A,82.8,94.1,47.6,A,20.2,A,9.2,B,0,0,5.8,A,A,A
07X221,7,South Bronx Preparatory: A College Board School,Ellen Reddon Flanagan,HS,High School,A,83,91.3,43.3,A,16.5,A,10.3,B,5.8,B,7,A,A,A
13K595,13,Bedford Academy High School,Adofo Muhammad,HS,High School,A,83,91.3,46.1,A,16.2,A,12.5,A,7.2,A,1,A,A,A
06M457,6,George Washington Yabc,Samuel Akel,YABC,YABC,A,83.1,0,36.9,A,16.5,A,12.7,A,9.3,A,7.7,A,A,A
02M475,2,Stuyvesant High School,Jie Zhang,HS,High School,A,83.2,91.6,45.3,A,18.4,A,9.6,C,9.8,A,0,A,A,A
20K259,20,J.H.S. 259 William Mckinley,Janice Geary,EMS,Middle,A,83.3,94.9,46.1,A,20.4,A,12.4,A,0,0,4.4,A,A,A
05M692,5,"High School for Mathematics, Science and Engineering at City College",Crystal Bonds,HS,High School,A,83.7,91.9,45.2,A,17.3,A,11.5,B,9.7,A,0,A,A,A
02M416,2,Eleanor Roosevelt High School,Dimitri Saliani,HS,High School,A,84.1,92.4,44.6,A,17.9,A,12,A,9.5,A,0.1,A,A,A
04M610,4,Young Women's Leadership School,Althea Bradshaw-Tyson,HS,High School,A,84.1,92.4,43.6,A,17,A,13.8,A,7.9,A,1.7,A,A,A
02M411,2,Baruch College Campus High School,Alicia Perez-Katz,HS,High School,A,84.6,92.7,48,A,17,A,10,B,9.5,A,0.1,A,A,A
02M114,2,East Side Middle School,David Getz,EMS,Middle,A,84.7,95.8,44.5,A,22.6,A,13.4,A,0,0,4.1,A,A,A
26Q205,26,P.S. 205 Alexander Graham Bell,Karen Scott-Piazza,EMS,Elementary,A,85.3,98.7,51.5,A,23.1,A,5.9,B,0,0,4.8,A,A,A
10X445,10,Bronx High School of Science,Valerie Reidy,HS,High School,A,85.3,93.8,47.6,A,18.6,A,9.1,C,10,A,0,A,A,A
14K685,14,El Puente Academy for Peace and Justice,Wanda Vazquez,HS,High School,A,85.4,94.3,38.3,A,17.4,A,12.1,A,5.1,C,12.4,A,A,A
24Q530,24,International High School at LaGuardia Community College,John Starkey,HS,High School,A,85.5,94.6,42.9,A,12.5,B,13.5,A,7.8,A,8.8,A,A,A
20K176,20,P.S. 176 Ovington,Elizabeth Culkin,EMS,Elementary,A,85.6,98.9,50.2,A,23.1,A,9.8,A,0,0,2.5,A,A,A
01M515,1,Lower East Side Preparatory High School,Martha Polin,HST,High School Transfer,A,85.6,0,36.9,A,17.1,A,11.2,B,10,A,10.4,A,A,A
02M550,2,Liberty High School Academy for Newcomers,Melodee Khristan,HST,High School Transfer,A,85.7,0,41.3,A,16.9,A,7.2,D,9.7,A,10.6,A,A,A
26Q046,26,P.S. 046 Alley Pond,Marsha Goldberg,EMS,Elementary,A,85.8,99.2,43.3,A,24.1,A,13.3,A,0,0,5.1,A,A,A
26Q133,26,P.S. 133 Queens,Marianne Sheridan,EMS,Elementary,A,85.8,99.2,49.8,A,21.4,A,8.8,B,0,0,5.7,A,A,A
02M418,2,Millennium High School,Colin Mcevoy,HS,High School,A,85.9,95.1,47.2,A,17.2,A,12.1,A,8.4,A,1,A,A,A
84M336,84,KIPP Infinity Charter School,Natalie Webb/Lindsay Fry,EMS,Middle,A,86.3,96.9,47.6,A,20.5,A,11.6,A,0,0,6.6,A,A,A
28Q687,28,Queens High School for the Sciences at York College,David Marmor,HS,High School,A,86.4,95.7,47.7,A,17.6,A,11.7,A,9.3,A,0,A,A,A
26Q203,26,P.S. 203 Oakland Gardens,Carole Nussbaum,EMS,Elementary,A,86.6,99.3,48.4,A,23.3,A,11.4,A,0,0,3.4,A,A,A
09X232,9,I.S. 232,Neifi Acosta,EMS,Middle,A,86.7,97.5,53.2,A,16.2,B,11,B,0,0,6.2,A,A,A
10X477,10,Marble Hill High School for International Studies,Kirsten Larson,HS,High School,A,87.9,95.9,45.5,A,15.4,A,12.2,A,6.6,B,8.1,A,A,A
14K558,14,Williamsburg High School for Architecture and Design,Gill Cornell,HS,High School,A,88.2,96.2,41.8,A,17.8,A,13.7,A,5.8,B,9.1,A,A,A
10X437,10,Fordham High School for the Arts,Iris Blige,HS,High School,A,88.4,96.5,42.5,A,18.6,A,13.6,A,5.4,B,8.3,A,A,A
25Q525,25,Townsend Harris High School,Anthony D. Barbetta,HS,High School,A,88.5,96.8,47.9,A,18.6,A,12,A,10,A,0,A,A,A
84K355,84,Williamsburg Collegiate Charter School,J.T. Leaird/Maya Roth,EMS,Middle,A,88.9,98.3,46.4,A,22.3,A,14.7,A,0,0,5.5,A,A,A
01M450,1,East Side Community School,Mark Federman,EMS,Middle,A,89,98.6,48.4,A,19.8,A,13.5,A,0,0,7.3,A,A,A
11X275,11,High School of Computers and Technology,Bruce Abramowitz,HS,High School,A,89.5,97,40.4,A,17.2,A,13.1,A,7.7,A,11.1,A,A,A
03M334,3,The Anderson School,Jodi Hyde,EMS,K-8,A,89.6,100,48.9,A,25,A,13.6,A,0,0,2,A,A,A
24Q264,24,Academy of Finance and Enterprise,Victoria Armano,HS,High School,A,90.6,97.3,43.2,A,17.7,A,12.6,A,8.1,A,9,A,A,A
10X696,10,High School of American Studies at Lehman College,Mr. Alessandro Weiss,HS,High School,A,90.7,97.6,49.4,A,18.5,A,12.9,A,9.9,A,0,A,A,A
31R605,31,Staten Island Technical High School,Vincent Maniscalco,HS,High School,A,91.2,97.8,50,A,18.4,A,12.8,A,10,A,0,A,A,A
02M042,2,P.S. 042 Benjamin Altman,Rosa Casiello O'day,EMS,Elementary,A,91.9,100,53.7,A,21.2,A,11.9,A,0,0,5.1,A,A,A
02M312,2,New York City Lab Middle School for Collaborativ,Megan Adams,EMS,Middle,A,92.3,99.2,49.4,A,22.6,A,12.2,A,0,0,8,A,A,A
02M542,2,Manhattan Bridges High School,Mirza Sanchez Medina,HS,High School,A,93.4,98.4,46.2,A,15.8,A,13.1,A,7.2,A,11,A,A,A
02M545,2,High School for Dual Language and Asian Studies,Li Yan,HS,High School,A,93.4,98.4,46.9,A,19.6,A,11.1,B,9.2,A,6.6,A,A,A
20K187,20,The Christa McAuliffe School\I.S. 187,Justin Berman,EMS,Middle,A,93.8,99.4,53.5,A,24.3,A,13.3,A,0,0,2.7,A,A,A
02M439,2,Manhattan Village Academy,Hector Geager,HS,High School,A,95.8,98.9,54.1,A,19.1,A,11.6,B,8.6,A,2.4,A,A,A
13K439,13,Brooklyn International High School,Pamela Taranto,HS,High School,A,100.5,99.5,51.2,A,17.8,A,13.9,A,5.9,B,11.7,A,A,A
15K146,15,P.S. 146,Anna Allanbrook,EMS,Elementary,A,66.6,85.6,32.7,B,17.6,A,11.1,A,0,0,5.2,A,A,B
11X153,11,P.S. 153 Helen Keller,Veronica Goka,EMS,Elementary,A,67.5,87.2,40.6,A,17.3,A,7.2,B,0,0,2.4,A,A,B
24Q125,24,I.S. 125 Thom J. McCann Woodside,Judy Mittler,EMS,Middle,A,69.1,77.5,35.1,B,16.9,A,12.3,A,0,0,4.7,A,A,B
20K112,20,P.S. 112 Lefferts Park,Louise Verdemare (Alfano),EMS,Elementary,A,70,90.2,37.4,A,18.9,A,10.5,A,0,0,3.2,A,A,B
08X093,8,P.S. 093 Albert G. Oliver,Jonathan Kaplan,EMS,Elementary,A,70.1,90.5,43.4,A,14.9,B,8.5,B,0,0,3.3,A,A,B
24Q199,24,P.S. 199 Maurice A. Fitzgerald,Anthony Inzerillo,EMS,Elementary,A,70.8,91.5,45.7,A,15.9,A,5.9,B,0,0,3.3,A,A,B
10X342,10,International School for Liberal Arts,Francine Cruz,EMS,Middle,A,71.3,82.6,39.8,A,12.9,B,12,A,0,0,6.6,A,A,B
84K538,84,Achievement First Bushwick Charter School,Amy D'angelo/Stacey M. Park,EMS,K-8,A,73.1,89,38.6,A,16.7,A,11.6,A,0,0,6.2,A,A,B
02M255,2,M.S. 255 Salk School of Science,Rhonda Perry,EMS,Middle,A,73.3,85.1,40.8,A,16.5,A,12.2,A,0,0,3.8,A,A,B
20K223,20,J.H.S. 223 The Montauk,Andrew Frank,EMS,Middle,A,73.9,86.2,46.3,A,12.4,B,10.1,B,0,0,5.1,A,A,B
17K568,17,Brownsville Academy High School,Lashawn Robinson,HST,High School Transfer,A,75.4,0,31.6,B,12.8,A,13.1,A,7.9,A,10,A,A,B
26Q186,26,P.S. 186 Castlewood,Dolores Troy-Quinn,EMS,Elementary,A,75.6,94.6,39.1,A,21.3,A,12.1,A,0,0,3,A,A,B
26Q495,26,Bayside High School,Michael Athy,HS,High School,A,75.8,80.2,39.3,A,15.3,A,9.4,C,8.2,A,3.6,A,A,B
22K535,22,Leon M. Goldstein High School for the Sciences,Scott Hughes,HS,High School,A,76.2,81.3,40.7,A,15.4,A,10.6,B,8.4,A,1,A,A,B
26Q430,26,Francis Lewis High School,Musa Ali Shama,HS,High School,A,77.7,84.3,38.2,A,14.9,A,12.7,A,7.5,A,4.4,A,A,B
19K431,19,Thomas Jefferson Yabc,Juan Batista,YABC,YABC,A,78,0,32.5,A,17.1,A,15,A,5.5,B,7.9,A,A,B
01M539,1,"New Explorations into Science, Technology and Math High School",Dr. Olga Livanis,HS,High School,A,79.5,87,47.8,A,16.5,A,7,D,8.2,A,0,A,A,B
02M407,2,Institute for Collaborative Education,Peter Karp,HS,High School,A,79.6,87.3,40.5,A,15,A,13,A,5.6,B,5.5,A,A,B
30Q150,30,P.S. 150 Queens,Carmen Parache,EMS,Elementary,A,80,97.7,49,A,22.3,A,5.2,C,0,0,3.5,A,A,B
09X260,9,Bronx Center for Science and Mathematics,Edward Tom,HS,High School,A,86.2,95.4,46,A,16.6,A,12.4,A,7.5,A,3.7,A,A,B
06M348,6,Washington Heights Expeditionary Learning School,Brett Kimmel,EMS,Middle,A,87,97.8,48.7,A,19.4,A,12.1,A,0,0,6.8,A,A,B
02M131,2,M.S. 131,Phyllis Tam,EMS,Middle,A,88.1,98,55.2,A,16.4,A,10.5,B,0,0,6,A,A,B
10X244,10,The New School for Leadership and Journalism,Dolores Peterson,EMS,Middle,A,93.9,99.7,55.7,A,20,A,11.8,A,0,0,6.4,A,A,B
84X378,84,Icahn Charter School 2,Brenda Carrasquillo,EMS,K-8,A,64.9,78.7,30.8,B,19.6,A,12.2,A,0,0,2.3,A,A,C
75Q075,75,Robert E. Peary School,Brenda Gallashaw,D75,K-8,A,66.7,0,42.1,A,15.8,B,8.8,C,0,0,0,A,A,C
10X007,10,P.S. 007 Kingsbridge,Frank Patterson,EMS,Elementary,A,81,98.4,44.4,A,20.4,A,13.8,A,0,0,2.4,A,A,C
23K647,23,Metropolitan Diploma Plus High School,Meri Yallowitz,HST,High School Transfer,A,85.4,0,44.1,A,10.8,B,11.2,B,8.4,A,10.9,A,A,C
84X347,84,International Leadership Charter School,Elaine Ruiz Lopez,HS,High School,A,93.6,98.6,48.6,A,15.6,A,12.2,A,8,A,9.2,A,A,C
84X346,84,South Bronx Classical Charter School,Lester Long,EMS,Elementary,A,73.4,92.8,39.6,A,23.9,A,7.5,B,0,0,2.4,A,A,D
02M570,2,Satellite Academy High School,Paul Melkonian,HST,High School Transfer,A,95.5,0,52.4,A,13.1,A,14.6,A,3.5,C,11.8,A,A,F
84X496,84,Icahn Charter School 4,Michelle Allen,EMS,Elementary,A,66.8,85.9,31.6,B,22.8,A,11.5,A,0,0,0.9,A,A,
84M384,84,Harlem Success Academy 2 Charter School,Noah Green,EMS,Elementary,A,68.9,89.3,30.6,B,24.8,A,10.1,A,0,0,3.4,A,A,
84K710,84,Brownsville Collegiate Charter School,Jessica Simmons,EMS,Middle,A,69,77.3,31.7,B,19.3,A,13.2,A,0,0,4.8,A,A,
