ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Superintendent,Community School Sup Name,Cluster Name,Cluster Location Code,Cluster Leader Name,Cluster Leader Title,Cluster Leader Phone,Network Location Code,Network Name,Network Leader,Network Leader Phone,SATIF Code,SATIF Superintendent,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,Operational Network Location Code,Operational Network Name,Operational Network Manager Name,Operational Network Manager Phone,boroughCode,borough,streetAddress,postalCode,title,entityTitle,addressLocality,latitude,longitude,loc,@context,@type,@id
01M142,M142,P.S. 142 Amalia Castro,310100010142,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1976,Open,M142,100 ATTORNEY STREET,MANHATTAN,NY,10002,RHONDA LEVY,PRINCIPAL,212-598-3800,212-598-3810,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N203,CHILDREN FIRST NETWORK 203,"Feigelson, Daniel",212-356-3875,AF27,,,,,W203,Operational Network 203,"Feigelson, Daniel",212-356-3875,M,Manhattan,100 Attorney Street,10002,P.S. 142 Amalia Castro,p_s_142_amalia_castro,Manhattan,40.7180843,-73.983794,"[-73.983794,40.7180843]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_142_amalia_castro
01M184,M184,P.S. 184m Shuang Wen,310100010184,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jun 22 1999,Open,M137,327 CHERRY STREET,MANHATTAN,NY,10002,"Iris Chiu, I.A.",I.A. PRINCIPAL,212-602-9700,212-602-9710,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 04,CL04,"GROLL, CHRISTOP",Cluster Leader,917-822-9756,N408,CHILDREN FIRST NETWORK 408,"YOUNG, LUCIUS",212-356-3851,AF12,,,,,W408,Operational Network 408,"YOUNG, LUCIUS",212-356-3851,M,Manhattan,327 Cherry Street,10002,P.S. 184m Shuang Wen,p_s_184m_shuang_wen,Manhattan,40.71137909999999,-73.9855025,"[-73.9855025,40.71137909999999]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_184m_shuang_wen
01M188,M188,P.S. 188 The Island School,310100010188,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1904,Open,M188,442 EAST HOUSTON STREET,MANHATTAN,NY,10002,MARY PREE,PRINCIPAL,212-677-5710,212-228-3007,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N203,CHILDREN FIRST NETWORK 203,"Feigelson, Daniel",212-356-3875,AF09,,,,,W203,Operational Network 203,"Feigelson, Daniel",212-356-3875,M,Manhattan,442 East Houston Street,10002,P.S. 188 The Island School,p_s_188_the_island_school,Manhattan,40.7195983,-73.97757969999999,"[-73.97757969999999,40.7195983]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/p_s_188_the_island_school
01M292,M292,Henry Street School for International Studies,310100011292,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",Sep 8 2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,CHRISTINE LOUGHLIN,PRINCIPAL,212-406-9411,212-406-9417,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"LODICO, ANTHONY","LODICO, ANTHONY",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N112,CHILDREN FIRST NETWORK 112,"Rehfield, Kathy",718-935-3668,AF38,,HS03,HS Network 03,"LODICO, ANTHONY",W112,Operational Network 112,,,M,Manhattan,220 Henry Street,10002,Henry Street School for International Studies,henry_street_school_for_international_studies,Manhattan,40.7134809,-73.98532120000002,"[-73.98532120000002,40.7134809]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/henry_street_school_for_international_studies
01M301,M301,"Technology, Arts, and Sciences Studio",310100010301,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 2005,Open,M019,185 1 AVENUE,MANHATTAN,NY,10003,GEORGE MORGAN,PRINCIPAL,212-982-1836,212-982-0528,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N101,CHILDREN FIRST NETWORK 101,"COFIELD, MARINA",212-356-3899,AF20,,,,,W101,Operational Network 101,"COFIELD, MARINA",212-356-3899,M,Manhattan,185 1st Avenue,10003,"Technology, Arts, and Sciences Studio",technology_arts_and_sciences_studio,Manhattan,40.7296049,-73.9836633,"[-73.9836633,40.7296049]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/technology_arts_and_sciences_studio
01M315,M315,The East Village Community School,310100010315,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,ROBIN WILLIAMS,PRINCIPAL,212-982-0682,212-260-4012,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N102,CHILDREN FIRST NETWORK 102,"Sheehan, Alison",212-356-3891,,,,,,W102,Operational Network 102,"Sheehan, Alison",212-356-3891,M,Manhattan,610 East 12th Street,10009,The East Village Community School,the_east_village_community_school,Manhattan,40.7276813,-73.9780983,"[-73.9780983,40.7276813]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/the_east_village_community_school
01M332,M332,University Neighborhood Middle School,310100010332,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Sep 13 2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,Laura Peynado,PRINCIPAL,212-267-5701,212-349-8224,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N103,CHILDREN FIRST NETWORK 103,"CHU, YUET",917-705-5856,AF47,,,,,W103,Operational Network 103,"CHU, YUET",917-705-5856,M,Manhattan,220 Henry Street,10002,University Neighborhood Middle School,university_neighborhood_middle_school,Manhattan,40.7134809,-73.98532120000002,"[-73.98532120000002,40.7134809]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/university_neighborhood_middle_school
01M345,M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",310100010345,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 2006,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,JUDITH DE LOS SANTOS,PRINCIPAL,212-227-0762,212-577-9785,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N103,CHILDREN FIRST NETWORK 103,"CHU, YUET",917-705-5856,AF47,,,,,W103,Operational Network 103,"CHU, YUET",917-705-5856,M,Manhattan,220 Henry Street,10002,"Collaborative Academy of Science, Technology, & Language-Arts Education",collaborative_academy_of_science_technology_language_arts_education,Manhattan,40.7134809,-73.98532120000002,"[-73.98532120000002,40.7134809]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/collaborative_academy_of_science_technology_language_arts_education
01M361,M361,The Children's Workshop School,310100010361,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,MARIA VELEZ CLARKE,PRINCIPAL,212-614-9531,212-614-9462,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N206,CHILDREN FIRST NETWORK 206,"Cordova, Ada",917-339-1488,AF28,,,,,W206,Operational Network 206,"Cordova, Ada",917-339-1488,M,Manhattan,610 East 12th Street,10009,The Children's Workshop School,the_children_s_workshop_school,Manhattan,40.7276813,-73.9780983,"[-73.9780983,40.7276813]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/the_children_s_workshop_school
01M363,M363,Neighborhood School,310100010363,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,MILO NOVELO,PRINCIPAL,212-387-0195,212-387-0198,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N102,CHILDREN FIRST NETWORK 102,"Sheehan, Alison",212-356-3891,,,,,,W102,Operational Network 102,"Sheehan, Alison",212-356-3891,M,Manhattan,121 East 3rd Street,10009,Neighborhood School,neighborhood_school,Manhattan,40.7239035,-73.9859185,"[-73.9859185,40.7239035]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/neighborhood_school
01M364,M364,Earth School,310100010364,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,ALISON GAIL HAZUT,PRINCIPAL,212-477-1735,212-477-2396,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N102,CHILDREN FIRST NETWORK 102,"Sheehan, Alison",212-356-3891,,,,,,W102,Operational Network 102,"Sheehan, Alison",212-356-3891,M,Manhattan,600 East 6th Street,10009,Earth School,earth_school,Manhattan,40.7244399,-73.98161809999999,"[-73.98161809999999,40.7244399]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/earth_school
01M378,M378,School for Global Leaders,310100010378,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 2008,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,CARRY CHAN,PRINCIPAL,212-260-5375,212-260-7386,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA","PHILLIPS, DANIELLA",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N112,CHILDREN FIRST NETWORK 112,"Rehfield, Kathy",718-935-3668,AF30,,,,,W112,Operational Network 112,,,M,Manhattan,145 Stanton Street,10002,School for Global Leaders,school_for_global_leaders,Manhattan,40.7205546,-73.9856836,"[-73.9856836,40.7205546]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/school_for_global_leaders
01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jun 4 1999,Open,M446,200 MONROE STREET,MANHATTAN,NY,10002,Elizabeth Collins,PRINCIPAL,212-962-4341,212-267-5611,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"LODICO, ANTHONY",,Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N101,CHILDREN FIRST NETWORK 101,"COFIELD, MARINA",212-356-3899,AF30,,HS03,HS Network 03,"LODICO, ANTHONY",W101,Operational Network 101,"COFIELD, MARINA",212-356-3899,M,Manhattan,200 Monroe Street,10002,University Neighborhood High School,university_neighborhood_high_school,Manhattan,40.712235,-73.983823,"[-73.983823,40.712235]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/university_neighborhood_high_school
01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",Jun 5 1996,Open,M060,420 EAST 12 STREET,MANHATTAN,NY,10009,MARK FEDERMAN,PRINCIPAL,212-460-8467,212-260-9657,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"LODICO, ANTHONY","LODICO, ANTHONY",Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N113,CHILDREN FIRST NETWORK 113,,,AF20,,HS03,HS Network 03,"LODICO, ANTHONY",W113,Operational Network 113,,,M,Manhattan,420 East 12th Street,10009,East Side Community School,east_side_community_school,Manhattan,40.7298459,-73.9831511,"[-73.9831511,40.7298459]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/east_side_community_school
01M458,M458,Forsyth Satellite Academy,310100011458,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2010,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,Ingrid Roberts Haynes,PRINCIPAL,212-677-8900,212-260-3063,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"LODICO, ANTHONY",,Cluster 04,CL04,"GROLL, CHRISTOP",Cluster Leader,917-822-9756,N403,CHILDREN FIRST NETWORK 403,"GOOD, JOSHUA",917-521-3718,,,HS03,HS Network 03,"LODICO, ANTHONY",W403,Operational Network 403,"GOOD, JOSHUA",917-521-3718,M,Manhattan,198 Forsyth Street,10002,Forsyth Satellite Academy,forsyth_satellite_academy,Manhattan,40.722518,-73.9905972,"[-73.9905972,40.722518]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/forsyth_satellite_academy
01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jun 5 1996,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,Mimi Fortunato,PRINCIPAL,212-473-8152,212-475-7588,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"LODICO, ANTHONY",,Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N108,CHILDREN FIRST NETWORK 108,"PILASKI, LISA",718-557-2633,AF34,,HS03,HS Network 03,"LODICO, ANTHONY",W108,Operational Network 108,"PILASKI, LISA",718-557-2633,M,Manhattan,145 Stanton Street,10002,Marta Valle High School,marta_valle_high_school,Manhattan,40.7205546,-73.9856836,"[-73.9856836,40.7205546]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/marta_valle_high_school
01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"10,11,12","09,10,11,12",Jun 5 1996,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,MARTHA POLIN,PRINCIPAL,212-505-6366,212-260-0813,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"LODICO, ANTHONY",,Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N108,CHILDREN FIRST NETWORK 108,"PILASKI, LISA",718-557-2633,,,HS03,HS Network 03,"LODICO, ANTHONY",W108,Operational Network 108,"PILASKI, LISA",718-557-2633,M,Manhattan,145 Stanton Street,10002,Lower East Side Preparatory High School,lower_east_side_preparatory_high_school,Manhattan,40.7205546,-73.9856836,"[-73.9856836,40.7205546]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/lower_east_side_preparatory_high_school
01M539,M539,"New Explorations into Science, Technology and Math High School",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08,09,10,11,12",Jul 1 2000,Open,M022,111 COLUMBIA STREET,MANHATTAN,NY,10002,Dr. Olga Livanis,PRINCIPAL,212-677-5190,212-260-8124,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"LODICO, ANTHONY","LODICO, ANTHONY",Cluster 02,CL02,"ZAHARAKIS, DESPINA",Cluster Leader,718-281-3272,N201,CHILDREN FIRST NETWORK 201,"Zaza, Joseph",718-281-7520,,,HS03,HS Network 03,"LODICO, ANTHONY",W201,Operational Network 201,"Zaza, Joseph",718-281-7520,M,Manhattan,111 Columbia Street,10002,"New Explorations into Science, Technology and Math High School",new_explorations_into_science_technology_and_math_high_school,Manhattan,40.7194927,-73.9791505,"[-73.9791505,40.7194927]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/new_explorations_into_science_technology_and_math_high_school
01M650,M650,Cascades High School,310100011650,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",Jan 5 1998,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,PAUL ROTONDO,PRINCIPAL,646-654-1261,646-654-1742,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"LODICO, ANTHONY",,Cluster 01,CL01,"KNECHT, DOUGLAS",Cluster Leader,718-923-5184,N108,CHILDREN FIRST NETWORK 108,"PILASKI, LISA",718-557-2633,,,HS03,HS Network 03,"LODICO, ANTHONY",W108,Operational Network 108,"PILASKI, LISA",718-557-2633,M,Manhattan,198 Forsyth Street,10002,Cascades High School,cascades_high_school,Manhattan,40.722518,-73.9905972,"[-73.9905972,40.722518]",http://schema.org,School,http://nyc.pediacities.com/Resource/School/cascades_high_school
