DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2011-2012 OVERALL GRADE,2011-2012 OVERALL SCORE,2011-12 OVERALL PERCENTILE,2011-2012 PROGRESS CATEGORY SCORE,2011-2012 PROGRESS GRADE,2011-2012 PERFORMANCE CATEGORY SCORE,2011-2012 PERFORMANCE GRADE,2011-2012 ENVIRONMENT CATEGORY SCORE,2011-2012 ENVIRONMENT GRADE,2011-2012 COLLEGE AND CAREER READINESS SCORE,2011-2012 COLLEGE AND CAREER READINESS GRADE,2011-2012 ADDITIONAL CREDIT,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
02M003,02,P.S. 003 Charrette School,Lisa Siegman,EMS,Elementary,17.08,C,48.1,35.7,21.3,D,14.7,B,8.8,B,,,3.2,C,B
02M006,02,P.S. 006 Lillie D. Blake,Lauren Fontana,EMS,Elementary,10.33,B,58.8,61.6,29.3,C,18.9,A,7.2,C,,,3.4,A,B
02M011,02,P.S. 011 William T. Harris,Robert Bender,EMS,Elementary,27.15,B,61.1,66.7,29.5,C,18.8,A,9.8,A,,,3.0,A,A
02M033,02,P.S. 033 Chelsea Prep,Linore Lindy,EMS,Elementary,37.56,A,68.3,83.3,36.2,B,17.2,A,12.0,A,,,2.9,B,A
02M040,02,P.S. 040 Augustus Saint-Gaudens,Susan Felder,EMS,Elementary,15.27,B,64.3,74.4,33.4,B,18.1,A,9.3,B,,,3.5,A,A
02M041,02,P.S. 041 Greenwich Village,Kelly Shannon,EMS,Elementary,10.81,B,52.9,47.9,22.1,C,16.4,A,11.2,A,,,3.2,A,B
02M042,02,P.S. 042 Benjamin Altman,Rosa Casiello O'day,EMS,Elementary,28.66,A,86.2,98.0,51.2,A,20.2,A,10.2,A,,,4.6,A,A
02M051,02,P.S. 051 Elias Howe,Nancy Sing Bock,EMS,Elementary,49.67,C,43.0,22.0,16.0,D,13.8,B,10.2,A,,,3.0,B,B
02M059,02,P.S. 059 Beekman Hill International,Adele Schroeter,EMS,Elementary,14.61,B,52.2,44.9,21.4,D,17.2,A,11.4,A,,,2.2,A,B
02M077,02,P.S. 77 Lower Lab School,Mara Ratesic Koetke,EMS,Elementary,9.27,B,60.1,64.4,28.3,C,21.0,A,8.8,B,,,2.0,A,A
02M089,02,P.S. 89,Veronica Najjar,EMS,Elementary,10.99,B,53.2,48.7,25.8,C,17.3,A,7.5,B,,,2.6,B,B
02M104,02,J.H.S. 104 Simon Baruch,Rosemarie Gaetani,EMS,Middle,3.06,B,60.6,62.2,30.8,C,18.1,A,8.4,B,,,3.3,B,B
02M111,02,P.S. 111 Adolph S. Ochs,Irma Medina,EMS,K-8,53.79,C,43.7,23.8,24.3,C,10.3,C,4.9,D,,,4.2,C,B
02M114,02,East Side Middle School,David Getz,EMS,Middle,3.54,A,79.3,92.0,40.5,A,22.6,A,12.8,A,,,3.4,A,A
02M116,02,P.S. 116 Mary Lindley Murray,Jane Hsu,EMS,Elementary,21.19,C,47.2,33.1,18.0,D,18.4,A,8.9,B,,,1.9,C,B
02M124,02,P.S. 124 Yung Wing,Alice Hom,EMS,Elementary,21.55,B,54.6,52.3,26.7,C,19.0,A,6.8,C,,,2.1,A,A
02M126,02,P.S. 126 Jacob August Riis,Jacqueline Getz,EMS,K-8,35.00,A,71.1,85.6,36.8,B,21.2,A,8.6,B,,,4.5,A,A
02M130,02,P.S. 130 Hernando De Soto,Lily Woo,EMS,Elementary,23.15,A,72.3,89.5,37.8,B,19.7,A,11.9,A,,,2.9,A,A
02M131,02,M.S. 131,Phyllis Tam,EMS,Middle,2.72,A,68.4,79.0,42.4,A,13.3,B,8.4,B,,,4.3,A,B
02M150,02,P.S. 150,Maggie Siena,EMS,Elementary,14.16,C,42.6,20.8,16.0,D,17.2,A,7.2,C,,,2.1,C,B
02M158,02,P.S. 158 Bayard Taylor,Darryl Alhadeff,EMS,Elementary,15.08,B,59.1,62.1,29.5,C,19.4,A,6.2,C,,,3.9,B,A
02M167,02,J.H.S. 167 Robert F. Wagner,Jennifer Rehn,EMS,Middle,3.08,B,63.2,69.6,32.9,B,19.2,A,7.9,B,,,3.2,A,B
02M183,02,P.S. 183 Robert L. Stevenson,Jennifer Leventhal,EMS,Elementary,13.75,B,60.2,64.6,32.7,B,17.3,A,6.8,C,,,3.4,B,B
02M198,02,P.S. 198 Isador E. Ida Straus,Sharon Jeffrey Roebuck,EMS,Elementary,41.13,D,27.3,3.3,13.4,F,9.6,C,2.0,F,,,2.3,C,B
02M212,02,P.S. 212 Midtown West,Dean Ketchum,EMS,Elementary,20.06,B,54.1,51.5,20.1,D,20.5,A,11.3,A,,,2.1,B,A
02M217,02,P.S./I.S. 217 Roosevelt Island,Mandana Beckman,EMS,K-8,28.31,D,33.2,6.9,15.1,F,9.3,D,5.8,C,,,3.0,D,B
02M225,02,Ella Baker School,Laura Garcia,EMS,K-8,40.22,C,47.7,33.8,22.4,D,16.1,A,7.1,C,,,2.1,C,B
02M234,02,P.S. 234 Independence School,Lisa Ripperger,EMS,Elementary,9.23,C,29.9,4.4,8.9,F,12.0,C,7.2,C,,,1.8,A,B
02M255,02,M.S. 255 Salk School of Science,Rhonda Perry,EMS,Middle,3.56,A,73.2,85.9,37.2,B,21.2,A,12.2,A,,,2.5,A,B
02M260,02,M.S. 260 Clinton School Writers & Artists,Jonathan Levin,EMS,Middle,2.91,A,68.2,78.2,33.3,B,22.4,A,9.0,B,,,3.5,B,A
02M276,02,BATTERY PARK CITY SCHOOL,Theresa Ruyter,EMS,K-8,13.23,C,46.9,31.9,18.6,D,15.0,B,9.0,B,,,4.3,A,.
02M289,02,I.S. 289,Ellen Foote,EMS,Middle,3.20,C,50.3,36.5,18.9,D,18.9,A,9.6,B,,,2.9,B,B
02M290,02,P.S. 290 Manhattan New School,Sharon Hill,EMS,Elementary,10.06,A,68.6,84.4,35.3,B,18.0,A,12.5,A,,,2.7,A,A
02M312,02,New York City Lab Middle School for Collaborativ,Megan Adams,EMS,Middle,3.61,A,70.2,82.6,33.6,B,21.9,A,11.6,A,,,3.1,A,A
02M347,02,The 47 American Sign Language & English Lower Sc,David Bowell,EMS,K-8,68.03,C,42.4,20.0,17.4,F,14.4,B,7.9,B,,,2.6,A,B
02M407,02,Institute for Collaborative Education,John Pettinato,EMS,Middle,3.51,C,31.4,7.7,6.0,F,14.8,B,9.5,B,,,1.1,B,C
02M408,02,Professional Performing Arts High School,Keith Ryan,EMS,Middle,3.74,B,58.6,58.6,30.4,C,21.4,A,5.8,C,,,1.0,B,A
02M413,02,School of the Future High School,Stacy Paige Goldstein,EMS,Middle,3.14,C,46.9,27.9,14.5,D,20.7,A,9.8,A,,,1.9,A,B
02M422,02,Quest to Learn,Elisa Aragon,EMS,Middle,2.72,B,58.0,56.9,27.6,C,17.8,A,8.5,B,,,4.1,B,.
02M442,02,"Ballet Tech, NYC Public School for Dance",Roy Oneill,EMS,K-8,30.27,B,61.2,68.8,25.0,C,22.6,A,12.6,A,,,1.0,B,C
02M655,02,Life Sciences Secondary School,Genevieve Stanislaus,EMS,Middle,2.18,B,52.3,42.8,26.7,C,15.4,B,6.0,C,,,4.2,C,C
02M896,02,Lower Manhattan Community Middle School,Kelly Mcguire,EMS,Middle,2.52,B,61.1,64.4,25.6,C,20.7,A,10.6,A,,,4.2,B,C
03M009,03,P.S. 009 Sarah Anderson,Diane Brady,EMS,Elementary,19.16,B,64.1,73.6,27.9,C,22.5,A,12.2,A,,,1.5,A,B
03M054,03,J.H.S. 054 Booker T. Washington,Elana Elster,EMS,Middle,3.43,B,54.5,48.3,26.0,C,17.9,A,8.8,B,,,1.8,B,B
03M075,03,P.S. 075 Emily Dickinson,Robert O'brien,EMS,Elementary,47.53,C,40.2,16.6,20.0,D,11.7,C,6.6,C,,,1.9,C,C
03M076,03,P.S. 076 A. Philip Randolph,Charles Deberry,EMS,K-8,61.50,C,50.5,38.8,22.7,C,13.1,B,11.8,A,,,2.9,B,C
03M084,03,P.S. 084 Lillian Weber,Robin Sundick,EMS,Elementary,41.93,B,52.5,46.2,29.4,C,11.8,C,8.7,B,,,2.6,F,C
03M087,03,P.S. 087 William Sherman,Monica Berry,EMS,Elementary,14.50,B,49.8,39.7,25.1,C,17.8,A,3.9,D,,,3.0,B,B
03M145,03,"P.S. 145, The Bloomingdale School",Ivelisse Alvarez,EMS,Elementary,65.64,C,44.0,23.1,22.2,C,9.2,C,8.8,B,,,3.8,C,B
03M149,03,P.S. 149 Sojourner Truth,Barbara Darrigo,EMS,K-8,65.26,F,26.2,0.6,11.1,F,4.5,F,8.1,B,,,2.4,C,B
03M163,03,P.S. 163 Alfred E. Smith,Virginia Pepe,EMS,Elementary,39.98,B,60.1,64.3,28.8,C,19.4,A,10.2,A,,,1.7,C,C
03M165,03,P.S. 165 Robert E. Simon,Aracelis Castellano,EMS,K-8,60.46,B,59.3,64.4,31.2,B,15.9,B,7.0,C,,,5.2,A,B
03M166,03,P.S. 166 The Richard Rodgers School of The Arts,Angela Olden Camiolo,EMS,Elementary,23.34,B,51.1,42.3,27.2,C,15.2,B,6.7,C,,,2.0,B,D
03M180,03,P.S. 180 Hugo Newman,Peter Mcfarlane,EMS,K-8,50.78,C,51.5,40.0,24.5,C,13.9,B,9.7,A,,,3.4,B,C
03M191,03,P.S. 191 Amsterdam,Maria Verdesoto,EMS,K-8,54.31,C,44.3,25.6,25.0,C,9.7,C,4.7,D,,,4.9,C,C
03M199,03,P.S. 199 Jessie Isador Straus,Katy Rosen,EMS,Elementary,10.80,B,57.8,59.7,28.1,C,19.4,A,8.6,B,,,1.7,A,A
03M208,03,P.S. 208 Alain L. Locke,Susan M. Green,EMS,Elementary,65.75,B,51.0,42.1,25.6,C,10.5,C,11.0,A,,,3.9,D,C
03M241,03,P.S. 241 Family Academy,Diana Diaz,EMS,Elementary,64.17,F,12.7,0.2,,F,3.1,F,7.6,B,,,2.0,B,C
03M242,03,PS M242-Gwendolyn Powell Brown Computer School,Denise Gomez,EMS,Elementary,65.15,D,25.6,2.8,13.5,F,4.9,F,4.6,D,,,2.5,B,C
03M243,03,M.S. 243 Center School,Elaine Schwartz,EMS,Middle,3.71,A,66.5,76.5,30.8,C,21.4,A,13.1,A,,,1.2,B,B
03M245,03,M.S. M245 The Computer School,Henry Zymeck,EMS,Middle,3.11,B,61.5,66.3,28.7,C,19.5,A,10.3,A,,,3.0,B,B
03M247,03,M.S. M247 Dual Language Middle School,Claudia Aguirre,EMS,Middle,2.36,A,89.0,97.0,47.8,A,20.7,A,13.5,A,,,7.0,A,A
03M250,03,M.S. 250 West Side Collaborative Middle School,Jeanne Rotunda,EMS,Middle,2.20,B,54.5,48.3,19.5,D,18.9,A,13.5,A,,,2.6,B,A
03M256,03,M.S. 256 Academic & Athletic Excellence,Jeffrey S. Perl,EMS,Middle,1.95,B,62.0,67.7,35.8,B,15.3,B,7.0,C,,,3.9,B,C
03M258,03,Community Action School - MS 258,John Curry,EMS,Middle,2.16,A,72.5,84.3,34.8,B,22.8,A,11.0,A,,,3.9,A,A
03M333,03,P.S. 333 Manhattan School for Children,Susan Rappaport,EMS,K-8,21.84,C,29.3,1.9,8.7,F,9.1,D,8.6,B,,,2.9,B,C
03M334,03,The Anderson School,Jodi Hyde,EMS,K-8,6.74,A,72.3,88.1,34.9,B,24.6,A,11.8,A,,,1.0,A,A
03M415,03,Wadleigh Secondary School for the Performing & V,Herma Hall,EMS,Middle,2.15,D,29.9,5.8,16.8,D,8.4,D,2.9,F,,,1.8,D,C
03M421,03,WEST PREP ACADEMY,Roberto Padilla,EMS,Middle,2.12,C,43.0,19.6,18.1,D,12.2,C,9.4,B,,,3.3,C,.
03M859,03,Special Music School,Katherine Banucci-Smith,EMS,K-8,7.11,A,74.0,89.4,39.2,A,23.4,A,10.4,A,,,1.0,A,A
03M860,03,Frederick Douglass Academy II Secondary School,Osei Owusu-Afriyie,EMS,Middle,2.09,B,63.4,69.9,39.9,A,13.6,B,7.0,C,,,2.9,F,C
03M862,03,Mott Hall II,Ana De Los Santos,EMS,Middle,3.02,A,74.0,87.6,39.5,A,21.8,A,9.1,B,,,3.6,A,A
04M007,04,P.S. 007 Samuel Stern,Sameer Talati,EMS,K-8,63.45,B,54.2,51.3,27.6,C,16.2,A,7.1,C,,,3.3,C,A
04M012,04,Tag Young Scholars,Janette Cesar,EMS,K-8,33.36,A,75.4,93.1,38.3,B,24.0,A,12.0,A,,,1.1,B,A
04M013,04,J.H.S. 013 Jackie Robinson,Jacob Michelman,EMS,Middle,2.05,D,32.2,8.0,13.6,F,9.5,C,6.3,C,,,2.8,C,C
04M037,04,River East Elementary,Don Catlin,EMS,Elementary,59.11,C,37.9,12.6,14.4,F,12.9,B,8.8,B,,,1.8,C,B
04M038,04,P.S. 38 Roberto Clemente,Norma Caraballo,EMS,Elementary,69.37,B,60.5,65.3,34.5,B,13.2,B,6.4,C,,,6.4,B,C
04M045,04,M.S. 45/S.T.A.R.S. Prep Academy,Tomasz Grabski,EMS,Middle,1.93,D,26.2,4.4,15.4,D,6.7,D,1.5,F,,,2.6,C,C
04M050,04,P.S. 050 Vito Marcantonio,Cynthia Rochez,EMS,K-8,69.05,B,52.7,41.9,37.3,B,7.6,D,3.4,F,,,4.4,C,C
04M057,04,James Weldon Johnson,Israel Soto,EMS,K-8,65.54,A,74.4,90.6,34.2,B,22.0,A,13.4,A,,,4.8,A,A
04M072,04,The Lexington Academy,Antonio Hernandez,EMS,Elementary,71.69,A,71.9,88.7,37.8,B,17.0,A,11.7,A,,,5.4,D,A
