the_geom,ats_code,boro,boronum,loc_code,schoolname,sch_type,managed_by,geo_distri,admin_dist,address,state_code,zip,principal,prin_ph,fax,grades,city,cartodb_id,created_at,updated_at
0101000020E6100000ED7AD9A5167F52C0F1BA16E0F54C4440,21K097      ,K,2,K097,P.S. 97 THE HIGHLAWN,Elementary,1,21,21,1855 STILLWELL AVENUE,NY,11223,KRISTINE MUSTILLO,718-372-7393,718-372-3842,"PK,0K,01,02,03,04,05,SE",BROOKLYN,5,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000003083F0D60D7D52C0C1AE1477AF4A4440,21K098      ,K,2,K098,I.S. 98 BAY ACADEMY,Junior High-Intermediate-Middle,1,21,21,1401 EMMONS AVENUE,NY,11235,MARIA TIMO,718-891-9005,718-891-3865,"06,07,08,SE",BROOKLYN,6,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000006BF967EED07D52C088EE690E8D4F4440,21K099      ,K,2,K099,P.S. 099 ISAAC ASIMOV,K-8,1,21,21,1120 EAST  10 STREET,NY,11230,GREGORY PIRRAGLIA,718-338-9201,718-951-0418,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,7,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000851CFB30247E52C08A1F59E4ED494440,21K100      ,K,2,K100,P.S. 100 THE CONEY ISLAND SCHOOL,Elementary,1,21,21,2951 WEST  3 STREET,NY,11224,Katherine A. Moloney,718-266-9477,718-266-7112,"PK,0K,01,02,03,04,05,SE",BROOKLYN,8,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000002FE56D3787F52C064BC61937D4C4440,21K101      ,K,2,K101,P.S. 101 THE VERRAZANO,Elementary,1,21,21,2360 BENSON AVENUE,NY,11214,GREGG KORROL,718-372-0221,718-372-1873,"PK,0K,01,02,03,04,05,SE",BROOKLYN,9,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000062B41F49DA8152C01E21CBAB2C514440,20K102      ,K,2,K102,P.S. 102 THE BAYVIEW,Elementary,1,20,20,211 72 STREET,NY,11209,Ms. Theresa Dovi,718-748-7404,718-836-9265,"0K,01,02,03,04,05,SE",BROOKLYN,10,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000044A852457D7D52C08F6F6269A7574440,13K103      ,K,2,K103,SATELLITE THREE,Junior High-Intermediate-Middle,1,13,13,170 GATES AVENUE,NY,11238,Beatrice Thompson,718-789-5835,718-789-5814,"06,07,08,SE",BROOKLYN,11,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000B5F05A7BD58152C0B7C840171F4F4440,20K104      ,K,2,K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,K-8,1,20,20,9115 5 AVENUE,NY,11209,Ms. Marie DiBella,718-836-4630,718-836-9412,"0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,12,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000075D6D53A3B8052C04986421D0B514440,20K105      ,K,2,K105,P.S. 105 THE BLYTHEBOURNE,Elementary,1,20,20,1031 59 STREET,NY,11219,JOHANNA CASTRONOVO,718-438-3230,718-853-9633,"PK,0K,01,02,03,04,05,SE",BROOKLYN,13,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000F0022436697A52C081040426CB584440,32K106      ,K,2,K106,P.S. 106 EDWARD EVERETT HALE,Elementary,1,32,32,1328 PUTNAM AVENUE,NY,11221,ROBERT FLORES,718-574-0261,718-574-1054,"PK,0K,01,02,03,04,05,SE",BROOKLYN,14,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000082A2B40ECC7E52C0091F3E0FDE544440,15K107      ,K,2,K107,P.S. 107 JOHN W. KIMBALL,Elementary,1,15,15,1301 8 AVENUE,NY,11215,CYNTHIA HOLTON,718-499-2054,718-965-6479,"PK,0K,01,02,03,04,05,SE",BROOKLYN,15,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000BAC5833987852C01F09A5ED33574440,19K108      ,K,2,K108,P.S. 108 SAL ABBRACCIAMENTO,Elementary,1,19,19,200 LINWOOD STREET,NY,11208,CONSTANCE HAHN,718-277-7010,718-827-4137,"0K,01,02,03,04,05,SE",BROOKLYN,16,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000001C4CA1DFB57B52C0C6EC0DC380514440,22K109      ,K,2,K109,P.S. 109,K-8,1,22,22,1001 EAST  45 STREET,NY,11203,Joan Thomas,718-693-3426,718-693-3072,"0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,17,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000055067B6D4A7C52C01CCE61D5A05C4440,14K110      ,K,2,K110,P.S. 110 THE MONITOR,Elementary,1,14,14,124 MONITOR STREET,NY,11222,ANNA CANO AMATO,718-383-7600,718-383-5053,"PK,0K,01,02,03,04,05,SE",BROOKLYN,18,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000F8D6C5E0B8052C095B62B894B4F4440,20K112      ,K,2,K112,P.S. 112 LEFFERTS PARK,Elementary,1,20,20,7115 15 AVENUE,NY,11228,Louise Verdemare (Alfano),718-232-0685,718-232-3609,"0K,01,02,03,04,05,SE",BROOKLYN,19,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000F73028E3287E52C08EA0752F21584440,13K113      ,K,2,K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,Junior High-Intermediate-Middle,1,13,13,300 ADELPHI STREET,NY,11205,Dawnique Daughtry,718-834-6734,718-596-2802,"06,07,08,SE",BROOKLYN,20,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000140A36091F7A52C0A8CC893141524440,18K114      ,K,2,K114,P.S. 114 RYDER ELEMENTARY,Elementary,1,18,18,1077 REMSEN AVENUE,NY,11236,Darwin Smith,718-257-4428,718-649-5216,"PK,0K,01,02,03,04,05,SE",BROOKLYN,21,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000086EDFBE5717952C021F1645543514440,18K115      ,K,2,K115,P.S. 115 DANIEL MUCATEL SCHOOL,Elementary,1,18,18,1500 EAST  92 STREET,NY,11236,Denis Guerin,718-241-1000,718-209-1714,"PK,0K,01,02,03,04,05,SE",BROOKLYN,22,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000009C6F143A97A52C0F18D35EA59594440,32K116      ,K,2,K116,P.S. 116 ELIZABETH L FARRELL,Elementary,1,32,32,515 KNICKERBOCKER AVENUE,NY,11237,SEIW KONG,718-821-4623,718-821-0363,"0K,01,02,03,04,05,SE",BROOKLYN,23,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000053B59053147C52C0755CEB0022504440,22K119      ,K,2,K119,P.S. 119 AMERSFORT,Elementary,1,22,22,3829 AVENUE K,NY,11210,LISA FERNANDEZ,718-377-7696,718-338-0694,"0K,01,02,03,04,05,SE",BROOKLYN,24,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000D9FEF50C047C52C0D82F7EA4AD594440,14K120      ,K,2,K120,P.S. 120 CARLOS TAPIA,Elementary,1,14,14,18 BEAVER STREET,NY,11206,Liza Caraballo,718-455-1000,718-574-6637,"PK,0K,01,02,03,04,05,SE",BROOKLYN,25,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000086BD0ED1A47E52C072B24AD9BA4F4440,21K121      ,K,2,K121,P.S. 121 NELSON A. ROCKEFELLER,K-8,1,21,21,5301 20 AVENUE,NY,11204,LILLIAN CATALANO,718-377-8845,718-252-4075,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,26,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CFC3BE4D0A7B52C0454559F31A5A4440,32K123      ,K,2,K123,P.S. 123 SUYDAM,Elementary,1,32,32,100 IRVING AVENUE,NY,11237,VERONICA GREENE,718-821-4810,718-821-0858,"0K,01,02,03,04,05,SE",BROOKLYN,27,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000062161597677F52C0B7C0497370554440,15K124      ,K,2,K124,P.S. 124 SILAS B. DUTCHER,Elementary,1,15,15,515 4 AVENUE,NY,11215,Annabelle Martinez,718-788-0246,718-965-9558,"PK,0K,01,02,03,04,05,SE",BROOKLYN,28,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000E7520D2CB27C52C08DC4903E215C4440,14K126      ,K,2,K126,JOHN ERICSSON MIDDLE SCHOOL 126,Junior High-Intermediate-Middle,1,14,14,424 LEONARD STREET,NY,11222,ROSEMARY OCHOA,718-782-2527,718-302-2319,"06,07,08,SE",BROOKLYN,29,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000003C8659B9308152C0E01BDC6DD84F4440,20K127      ,K,2,K127,P.S. 127 MCKINLEY PARK,Elementary,1,20,20,7805 7 AVENUE,NY,11228,Agatha Alicandro,718-833-2323,718-836-9427,"0K,01,02,03,04,05,SE",BROOKLYN,30,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000865723C6B57F52C08B60BE5D714D4440,21K128      ,K,2,K128,P.S. 128 BENSONHURST,Elementary,1,21,21,2075 84 STREET,NY,11214,MARCIA ROBINS,718-373-5900,718-266-6254,"PK,0K,01,02,03,04,05,SE",BROOKLYN,31,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000008AA49371757E52C0CE74DC1910534440,15K130      ,K,2,K130,P.S. 130 THE PARKSIDE,Elementary,1,15,15,70 OCEAN PARKWAY,NY,11218,MARIA NUNZIATA,718-686-1940,718-854-9756,"PK,0K,01,02,03,04,05,SE",BROOKLYN,32,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000D8609F9927F52C0D441ED3305524440,15K131      ,K,2,K131,P.S. 131 BROOKLYN,Elementary,1,15,15,4305 FT HAMILTON PARKWAY,NY,11219,RUTH QUILES,718-686-1457,718-853-5952,"PK,0K,01,02,03,04,05,SE",BROOKLYN,33,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000006E647C68897C52C0F70D9F527D5B4440,14K132      ,K,2,K132,P.S. 132 THE CONSELYEA SCHOOL,Elementary,1,14,14,320 MANHATTAN AVENUE,NY,11211,BETH LUBECK,718-599-7301,718-599-7417,"PK,0K,01,02,03,04,05,SE",BROOKLYN,34,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000095B0336F4A7E52C0A1F81E02EE504440,22K134      ,K,2,K134,P.S. K134,Elementary,1,22,22,4001 18 AVENUE,NY,11218,DEBRA RAMSARAN,718-436-7200,718-854-4115,"PK,0K,01,02,03,04,05,SE",BROOKLYN,35,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000573989D7B57B52C0A6897FDEA0534440,18K135      ,K,2,K135,P.S. 135 SHELDON A. BROOKNER,Elementary,1,18,18,684 LINDEN BOULEVARD,NY,11203,Trevlyn Mcrae,718-693-4363,718-941-0847,"PK,0K,01,02,03,04,05,SE",BROOKLYN,36,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000008D5A8DF1778052C08BC0CD5C74534440,15K136      ,K,2,K136,I.S. 136 CHARLES O. DEWEY,Junior High-Intermediate-Middle,1,15,15,4004 4 AVENUE,NY,11232,ERIC SACKLER,718-965-3333,718-965-9567,"06,07,08,SE",BROOKLYN,37,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000002834248AAB7A52C03F476FD253574440,23K137      ,K,2,K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,K-8,1,23,23,121 SARATOGA AVENUE,NY,11233,Winston Riley,718-453-2926,718-453-5363,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,38,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000001FD2D8A1E27C52C02798EE8A4A564440,17K138      ,K,2,K138,P.S. 138 BROOKLYN,K-8,1,17,17,760 PROSPECT PLACE,NY,11216,Ms. Marie Chauvet-Monchik,718-467-0800,718-953-3422,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,39,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000002C3A95A7CE7D52C00EF2108019524440,22K139      ,K,2,K139,P.S. 139 ALEXINE A. FENTY,Elementary,1,22,22,330 RUGBY ROAD,NY,11226,MARY MCDONALD,718-282-5254,718-940-1205,"PK,0K,01,02,03,04,05,SE",BROOKLYN,40,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000016BA15F30A7A52C070329847FA534440,75K140      ,K,2,K140,P.S. K140,K-8,1,23,75,985 ROCKAWAY AVENUE,NY,11212,MICHELLE CARPENTER,718-498-2800,718-498-9192,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,41,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000002239B0AEE97C52C0A5BA3DC004544440,75K141      ,K,2,K141,P.S. K141,K-12 all grades,1,17,75,655 PARKSIDE AVENUE,NY,11226,MICHELE THORNTON MANNIX,718-941-0320,718-941-3152,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",BROOKLYN,42,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000008A27614BA97B52C05B2634D2CB594440,32K145      ,K,2,K145,P.S. 145 ANDREW JACKSON,Elementary,1,32,32,100 NOLL STREET,NY,11206,MARILYN TORRES,718-821-4823,718-417-3453,"PK,0K,01,02,03,04,05,SE",BROOKLYN,43,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000259AC59A1B8052C02F062F0207574440,15K146      ,K,2,K146,P.S. 146,Elementary,1,15,15,610 HENRY STREET,NY,11231,ANNA ALLANBROOK,718-923-4750,718-923-4780,"PK,0K,01,02,03,04,05,SE",BROOKLYN,44,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000E3B7532A167C52C07914B999425A4440,14K147      ,K,2,K147,P.S. 147 ISSAC REMSEN,Elementary,1,14,14,325 BUSHWICK AVENUE,NY,11206,JULIA DRAKE,718-497-0326,718-628-4988,"PK,0K,01,02,03,04,05,SE",BROOKLYN,45,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000BA80C3FD227952C07C74A679AF554440,19K149      ,K,2,K149,P.S. 149 DANNY KAYE,Elementary,1,19,19,700 SUTTER AVENUE,NY,11207,ENID SILVERA,718-385-8666,718-345-8118,"PK,0K,01,02,03,04,05,SE",BROOKLYN,46,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000006EEAD9D5EB7952C0F586589D93554440,23K150      ,K,2,K150,P.S. 150 CHRISTOPHER,K-8,1,23,23,364 SACKMAN STREET,NY,11212,Pamela Bradley Muchere,718-495-7746,718-922-3785,"0K,01,02,03,04,05,08,SE",BROOKLYN,47,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000001A76EAC4217A52C0B8116995C0584440,32K151      ,K,2,K151,P.S. 151 LYNDON B. JOHNSON,Elementary,1,32,32,763 KNICKERBOCKER AVENUE,NY,11207,Maria Anaya,718-821-4800,718-821-0166,"PK,0K,01,02,03,04,05,SE",BROOKLYN,48,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000DFB4EF12147D52C05E80F4AFFA504440,22K152      ,K,2,K152,SCHOOL OF SCIENCE & TECHNOLOGY,Elementary,1,22,22,725 EAST  23 STREET,NY,11210,Dr. Rhonda D. Farkas,718-434-5222,718-859-5965,"PK,0K,01,02,03,04,05,SE",BROOKLYN,49,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000B8081840707D52C0E5EFA6DFF34C4440,21K153      ,K,2,K153,P.S. 153 HOMECREST,Elementary,1,21,21,1970 HOMECREST AVENUE,NY,11229,Carl SantaMaria,718-375-4484,718-375-4439,"PK,0K,01,02,03,04,05,SE",BROOKLYN,50,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000B6D3D1E1787E52C042DE97C81A544440,15K154      ,K,2,K154,MAGNET SCHOOL FOR SCIENCE & TECHNOLOGY,Elementary,1,15,15,1625 11 AVENUE,NY,11215,SAMUEL ORTIZ,718-768-0057,718-832-2573,"PK,0K,01,02,03,04,05,SE",BROOKLYN,51,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000007E881064287A52C043988DD2BB564440,23K155      ,K,2,K155,P.S./ I.S. 155 NICHOLAS HERKIMER,K-8,1,23,23,1355 HERKIMER STREET,NY,11233,NELLY CORTES,718-495-7751,718-345-9064,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,52,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000089805CB8C37A52C05BBFB4C436554440,23K156      ,K,2,K156,P.S. 156 WAVERLY,Elementary,1,23,23,104 SUTTER AVENUE,NY,11212,BEVERLY LOGAN,718-498-2811,718-346-2804,"PK,0K,01,02,03,04,05,SE",BROOKLYN,53,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000C246D1D16F7D52C0B79F096903594440,14K157      ,K,2,K157,P.S. 157 BENJAMIN FRANKLIN,Elementary,1,14,14,850 KENT AVENUE,NY,11205,MARIBEL TORRES,718-622-9285,718-398-4155,"PK,0K,01,02,03,04,05,SE",BROOKLYN,54,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000005A305FEFA47852C026B0FB3A17564440,19K158      ,K,2,K158,P.S. 158 WARWICK,Elementary,1,19,19,400 ASHFORD STREET,NY,11207,AUDREY WILSON,718-277-6116,718-827-4300,"PK,0K,01,02,03,04,05,SE",BROOKLYN,55,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000001D94B691A87752C0DC5200CF86564440,19K159      ,K,2,K159,P.S. 159 ISAAC PITKIN,Elementary,1,19,19,2781 PITKIN AVENUE,NY,11208,MONICA DUNCAN,718-277-4828,718-827-4531,"0K,01,02,03,04,05,SE",BROOKLYN,56,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000084BBFB14C07C52C012B657393E554440,17K161      ,K,2,K161,P.S. 161 THE CROWN,K-8,1,17,17,330 CROWN STREET,NY,11225,Ms. Deborah Barrett,718-756-3100,718-953-3605,"0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,57,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000ACC302F9DC7A52C0BE9D86CC755A4440,32K162      ,K,2,K162,J.H.S. 162 THE WILLOUGHBY,Junior High-Intermediate-Middle,1,32,32,1390 WILLOUGHBY AVENUE,NY,11237,Barbara DeMartino,718-821-4860,718-821-1728,"06,07,08,SE",BROOKLYN,58,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000BF3FC62D187F52C0CBDF36F08E514440,20K164      ,K,2,K164,P.S. 164 CAESAR RODNEY,Elementary,1,20,20,4211 14 AVENUE,NY,11219,Margaret Choy-Shan,718-854-4100,718-853-9306,"PK,0K,01,02,03,04,05,SE",BROOKLYN,59,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000F0F264814D7A52C03DA22ACB1F544440,23K165      ,K,2,K165,P.S. 165 IDA POSNER,K-8,1,23,23,76 LOTT AVENUE,NY,11212,Fran Ellers,718-495-7759,718-345-8255,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,60,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000C46423FCB07852C0BA4E48797C544440,19K166      ,K,2,K166,J.H.S. 166 GEORGE GERSHWIN,Junior High-Intermediate-Middle,1,19,19,800 VAN SICLEN AVE,NY,11207,MARIA ORTEGA,718-649-0765,718-927-2172,"06,07,08,SE",BROOKLYN,61,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000005982F5EBCB7B52C065B2C5C7B1554440,17K167      ,K,2,K167,P.S. 167 THE PARKWAY,Elementary,1,17,17,1025 EASTERN PARKWAY,NY,11213,MARC MARDY,718-774-2640,718-953-1954,"PK,0K,01,02,03,04,05,SE",BROOKLYN,62,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000A36D24921E8052C05B485E1DAE524440,15K169      ,K,2,K169,P.S. 169 SUNSET PARK,Elementary,1,15,15,4305 7 AVENUE,NY,11232,JOSEPHINE SANTIAGO,718-853-3224,718-633-9621,"0K,01,02,03,04,05,SE",BROOKLYN,63,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000000B5B25A4348152C0487A7479B2504440,20K170      ,K,2,K170,P.S. 170 LEXINGTON,Elementary,1,20,20,7109 6 AVENUE,NY,11209,Zhen (Tony) Wu,718-748-0333,718-921-6351,"0K,01,02,03,04,05,SE",BROOKLYN,64,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CEDA6604A57752C0C3889EA9CC574440,19K171      ,K,2,K171,I.S. 171 ABRAHAM LINCOLN,Junior High-Intermediate-Middle,1,19,19,528 RIDGEWOOD AVENUE,NY,11208,YOLANDA FUSTANIO,718-647-0111,718-827-5834,"05,06,07,08,SE",BROOKLYN,65,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000009BDED765058052C022B2520032544440,15K172      ,K,2,K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,Elementary,1,15,15,825 4 AVENUE,NY,11232,Jack Spatola,718-965-4200,718-965-2468,"PK,0K,01,02,03,04,05,SE",BROOKLYN,66,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000009918F2DB727952C05068BAB431554440,19K174      ,K,2,K174,P.S. 174 DUMONT,K-8,1,19,19,574 DUMONT AVENUE,NY,11207,INGRID MASON,718-345-1223,718-345-8808,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,67,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E61000002127E0C2558052C0B253B33CF94F4440,20K176      ,K,2,K176,P.S. 176 OVINGTON,Elementary,1,20,20,1225 69 STREET,NY,11219,ELIZABETH CULKIN,718-236-7755,718-331-9188,"0K,01,02,03,04,05,SE",BROOKLYN,68,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E610000088F625DA5D7E52C0B84FB867E04D4440,21K177      ,K,2,K177,P.S. 177 THE MARLBORO,Elementary,1,21,21,346 AVENUE P,NY,11204,SHOSHANA SINGER,718-375-9506,718-375-4450,"PK,0K,01,02,03,04,05,SE",BROOKLYN,69,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
0101000020E6100000CD8DC635957A52C0A22C23F16D564440,23K178      ,K,2,K178,P.S. 178 SAINT CLAIR MCKELWAY,K-8,1,23,23,2163 DEAN STREET,NY,11233,JOSEPH FRANTZ HENRY,718-495-7768,718-495-2304,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,70,2014-08-06 21:17:03.206366+00,2014-08-06 21:17:03.206366+00
